biblio_id;judul_buku;kode_ddc;ddc_bersih;program_studi_ddc;program_studi_prediksi;confidence;multilabel_list
1465;Instrumentation, measurement and feedback;629.8301;629;Teknik Mesin;Teknik Mesin;79.76;Teknik Mesin, Teknik Informatika & Komputer
1467;Introductory algebra;512.9;512;Matematika;Matematika;95.94;Matematika
1468;Irigation: Design and Practice;626.81;626;Teknik Sipil;Teknik Sipil;76.61;Teknik Sipil
1469;Jigs And Fixtures;604.2;604;Teknik Mesin;Teknik Mesin;100.0;Teknik Mesin
1470;Just-In-Time Certification Review Course;6585;658;Administrasi Niaga;Administrasi Niaga;87.35;Administrasi Niaga
1471;Kamus Komputer : Akronim dan Singkatan;005;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;89.66;Teknik Informatika & Komputer
1472;Kemungkinan Pemanfaatan Teknologi DBS di Indonesia;384;384;Administrasi Niaga;Administrasi Niaga;75.09;Administrasi Niaga
1473;Kunci penyelesaian soal-soal disain baja kontruksi : Structural steel desighn;624.177;624;Teknik Sipil;Teknik Sipil;95.42;Teknik Sipil
1474;Kunci Sukses Seorang Bankir : Sebuah Kasus Pemimpin Cabang Bank;658;658;Administrasi Niaga;Administrasi Niaga;93.05;Administrasi Niaga
1475;Listrik Elektronika Rumah Tangga;621.32;621;Teknik Elektro;Teknik Elektro;93.46;Teknik Elektro
1476;Machinery's Handbook : A Reference Book for the Mechanical Egineer, Designer, Manufacturing Engineer, Draftsman, Toolmaker, and Machinist;621.8;621;Teknik Mesin;Teknik Mesin;97.86;Teknik Mesin
1479;Machinery's Handbook : A Reference Book for the Mechanical Engineer, Designer, Manufacturing Engineer, Dreftsman, Toolmaker, and Machinist;621.8;621;Teknik Mesin;Teknik Mesin;98.93;Teknik Mesin
1480;Manajemen Bagi Organisasi non-perusahaan;658.15;658;Administrasi Niaga;Administrasi Niaga;98.87;Administrasi Niaga
1481;Manajemen Keuangan;658.15;658;Administrasi Niaga;Administrasi Niaga;100.0;Administrasi Niaga
1483;Manajemen Keuangan : Managerial Finance;65815;658;Administrasi Niaga;Administrasi Niaga;100.0;Administrasi Niaga
1484;Manajemen Konstruksi;624;624;Teknik Sipil;Teknik Sipil;100.0;Teknik Sipil
1486;Mathematics for Engineers and Scientists;51062007;510;Matematika;Matematika;100.0;Matematika
1487;McGraw-Hill Dictionary of Chemical Terms;540.321;540;Teknik Sipil;Teknik Sipil;94.51;Teknik Sipil
1488;Mekanika tanah : Prinsip-prinsip rekayasa geoteknis;624.15;624;Teknik Sipil;Teknik Sipil;96.02;Teknik Sipil
1489;Memahami dBase II;005.7565;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;100.0;Teknik Informatika & Komputer
1490;Mengenal fisafat pancasila pendekatan;130.5;130;Umum;Umum;93.73;Umum
1491;Menyiapkan dan memadu karier;158.3;158;Umum;Umum;96.54;Umum
1492;Metoda Analisa Sistem & Pola Operasional Administrasi;651.5;651;Administrasi Niaga;Administrasi Niaga;94.41;Administrasi Niaga
1494;Middle Classes in dependent countries;305.55;305;Umum;Umum;100.0;Umum
1495;More Favourite Stories From Vietnam;428.649922;428;Umum;Umum;99.23;Umum
1496;New Directions In Comparative Politics;320.3;320;Umum;Umum;98.95;Umum
1497;Paskal plus Data Structures, Algorithms, and Advanced Programming;00571;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;90.61;Teknik Informatika & Komputer
1498;Penerapan konsep pemasaran;380.1;380;Administrasi Niaga;Administrasi Niaga;100.0;Administrasi Niaga
1499;Pengantar administrasi niaga;350.823;350;Umum;Umum;70.93;Umum, Administrasi Niaga
1500;Pengantar Analisis Struktur Dengan Cara Matriks;624.171;624;Teknik Sipil;Teknik Sipil;95.19;Teknik Sipil
1502;Pengantar Teori Mikroekonomi;339;339;Administrasi Niaga;Administrasi Niaga;100.0;Administrasi Niaga
1503;Penyelesaian Soal-soal Mekanika Teknik;624.17076;624;Teknik Sipil;Teknik Sipil;73.68;Teknik Sipil, Teknik Elektro
1505;Perbaikan dan Pengaturan Sungai;627.12;627;Teknik Sipil;Teknik Sipil;99.92;Teknik Sipil
1506;Perencanaan Pelabuhan;627.2;627;Teknik Sipil;Teknik Sipil;89.51;Teknik Sipil
1507;Perilaku Dalam Organisasi;658.1;658;Administrasi Niaga;Administrasi Niaga;100.0;Administrasi Niaga
1509;Perpajakan;336.2;336;Akuntansi;Akuntansi;96.28;Akuntansi
1511;Pokok-pokok pengertian human relations dalam manajemen;658.312;658;Administrasi Niaga;Administrasi Niaga;100.0;Administrasi Niaga
1512;Pokok-Pokok Proyek Manajemen Pert & CPM;65802;658;Administrasi Niaga;Administrasi Niaga;80.51;Administrasi Niaga
1513;Power generation dan distribution;640/85;640;Umum;Teknik Elektro;56.91;Teknik Elektro, Umum
1514;Predicting and Measuring Fugitive Dust;620.43;620;Teknik Mesin;Teknik Mesin;100.0;Teknik Mesin
1515;Principles of Information Processing;004;4;Teknik Informatika & Komputer;Teknik Informatika & Komputer;94.87;Teknik Informatika & Komputer
1516;Principles of Planned Maintenance;620.004 6;620;Teknik Mesin;Teknik Mesin;79.29;Teknik Mesin
1517;Process Instrments and Controls Handbook;629.8;629;Teknik Mesin;Teknik Mesin;83.33;Teknik Mesin, Teknik Informatika & Komputer
1518;Process Instruments and Control Handbook;629.8;629;Teknik Mesin;Teknik Mesin;83.33;Teknik Mesin, Teknik Informatika & Komputer
1519;Process instruments and Controls Handbook;629.8;629;Teknik Mesin;Teknik Mesin;83.24;Teknik Mesin, Teknik Informatika & Komputer
1521;Ringkasan elektro teknik;623.43;623;Teknik Mesin;Teknik Mesin;67.97;Teknik Mesin, Teknik Elektro
1522;Saling menolong antar mahasiswa;371.46;371;Umum;Umum;91.35;Umum
1523;Service America : Doing Business in the New Economy;658.11.73;658;Administrasi Niaga;Administrasi Niaga;94.37;Administrasi Niaga
1524;ShopTheory;621.7;621;Teknik Mesin;Teknik Mesin;94.74;Teknik Mesin
1525;Small-Scale Irrigation;626.81;626;Teknik Sipil;Teknik Sipil;86.07;Teknik Sipil
1526;States versus markets in the world-system;338.9;338;Administrasi Niaga;Administrasi Niaga;88.08;Administrasi Niaga
1528;Teknik Kontrol Automatik jilid 2 : Sistem Pengaturan;629.8;629;Teknik Mesin;Teknik Mesin;98.23;Teknik Mesin
1529;Teknik Merancang Rangkaian dengan Transistor;621.384;621;Teknik Elektro;Teknik Elektro;100.0;Teknik Elektro
1530;Teori dan Soal-Soal Kimia dasar;540;540;Teknik Sipil;Teknik Sipil;96.32;Teknik Sipil
1531;Teori Dasar Struktur;624.17;624;Teknik Sipil;Teknik Sipil;90.26;Teknik Sipil
1532;Teori harga dan penerapannya;338.52;338;Administrasi Niaga;Administrasi Niaga;89.53;Administrasi Niaga
1533;Text Book of Water Suply and Sanitary Engineering;628;628;Teknik Sipil;Teknik Sipil;84.64;Teknik Sipil, Teknik Mesin
1535;The Fidic Conditions Digest of Contractual Relationships and Responsibilities;624;624;Teknik Sipil;Teknik Sipil;87.57;Teknik Sipil
1536;The Last You Should Know Abot Vocabulary Building Ward Roots;428.1;428;Umum;Umum;100.0;Umum
1537;The Management of Quality Assurance;658562;658;Administrasi Niaga;Administrasi Niaga;98.04;Administrasi Niaga
1538;The Principles of Physical Metallurgy;669;669;Teknik Sipil;Teknik Sipil;96.2;Teknik Sipil
1539;The Profesional practice of Nursing administration;610.730;610;Umum;Umum;81.35;Umum, Administrasi Niaga
1540;Theory and Problems of Advanced Business Law;3467.07;346;Umum;Umum;83.75;Umum
1543;Accounting Theory;657;657;Akuntansi;Akuntansi;100.0;Akuntansi
1544;Admininstrasi Negara jilid 1;350;350;Umum;Umum;100.0;Umum
1545;Advanced Office Systems;651.2;651;Administrasi Niaga;Administrasi Niaga;100.0;Administrasi Niaga
1547;Akuntansi Intermediate : Volume Komprehensif;657.044;657;Akuntansi;Akuntansi;100.0;Akuntansi
1548;Alat pengangkat dan pompa;621.1;621;Teknik Mesin;Teknik Mesin;92.88;Teknik Mesin
1549;Alat-alat perkakas 1;621.9;621;Teknik Mesin;Teknik Mesin;98.41;Teknik Mesin
1551;Aliran Melalui Saluran Terbuka;620.106;620;Teknik Mesin;Teknik Sipil;50.92;Teknik Sipil, Teknik Mesin
1553;American Goverment: Institution and Policies;320.0973;320;Umum;Umum;98.41;Umum
1554;An Introduction to The Bible: A Journey Into Three Words;220.61;220;Umum;Umum;97.95;Umum
1555;Aplikasi dBase II pada Akuntansi;005.453;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;91.87;Teknik Informatika & Komputer
1556;Arsitektur, manusia, dan pengamatannya;720;720;Teknik Grafika & Penerbitan;Teknik Grafika & Penerbitan;89.26;Teknik Grafika & Penerbitan
1557;Aspek Manusia dalam organisasi;658.1;658;Administrasi Niaga;Administrasi Niaga;91.48;Administrasi Niaga
1558;Bagaimana Mengorganisasi Dan Menyelenggarakan Seminar : Apa yang perlu dilakukan dan kapan kita melaksanakannya;658.456;658;Administrasi Niaga;Administrasi Niaga;83.79;Administrasi Niaga, Umum
1559;Belajar dan berlatih atletik : Untuk coach, atlit, guru olah raga dan umum;796.42;796;Umum;Umum;93.56;Umum
1560;Bimbingan Untuk Pembeli Sistem Komputer Bisnis;004;4;Teknik Informatika & Komputer;Teknik Informatika & Komputer;86.54;Teknik Informatika & Komputer
1561;Building security in europe : Confindence building measures and the csce;355.49;355;Umum;Umum;93.31;Umum
1562;Bulu Tangkis;765345;765;Teknik Grafika & Penerbitan;Teknik Grafika & Penerbitan;72.5;Teknik Grafika & Penerbitan, Umum
1563;Cerita Pendek Indonesia;813;813;Umum;Umum;100.0;Umum
1565;Composite Penels Plates : Analysis and Design;620.118;620;Teknik Mesin;Teknik Mesin;82.63;Teknik Mesin, Teknik Sipil
1566;Computer Applications for Mathematics and Calculus;003.0285;3;Teknik Informatika & Komputer;Teknik Informatika & Komputer;64.56;Teknik Informatika & Komputer, Matematika
1567;Computers and Applications : an introduction to Data Processing;00571;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;92.31;Teknik Informatika & Komputer
1568;Cost Accounting : Kalkulasi Harga Pokok;657.42;657;Akuntansi;Akuntansi;100.0;Akuntansi
1569;Dasar-Dasar Akuntansi : Proses Akuntansi;657.042;657;Akuntansi;Akuntansi;100.0;Akuntansi
1570;Dasar-dasar beton bertulang : versi SI;693;693;Teknik Sipil;Teknik Sipil;100.0;Teknik Sipil
1571;Dasar-Dasar Ilmu Administrasi;651.3;651;Administrasi Niaga;Administrasi Niaga;89.76;Administrasi Niaga
1574;Dasar-Dasar Manajemen Keuangan;658.15;658;Administrasi Niaga;Administrasi Niaga;100.0;Administrasi Niaga
1576;Dasar-dasar matematika ekonomi;330.0151;330;Administrasi Niaga;Administrasi Niaga;84.82;Administrasi Niaga, Matematika
1578;Dinamika komunikasi;302.2;302;Umum;Umum;100.0;Umum
1579;Disain Struktur Dalam Arsitektur;624.1771;624;Teknik Sipil;Teknik Sipil;97.31;Teknik Sipil
1580;"Dunia Usaha Indonesia : Segi hukum, segi manajemen, struktur bentuk hukum; kebijaksanaan pemerintah";650.09598;650;Administrasi Niaga;Administrasi Niaga;90.87;Administrasi Niaga
1581;Dunia usaha Indonesia : Segi hukum, segi manajemen, struktur/bentuk hukum, kebijaksanaan pemerintah;650.095;650;Administrasi Niaga;Administrasi Niaga;89.08;Administrasi Niaga
1582;Earth;550;550;Sains;Sains;89.96;Sains
1583;Ekonomi;330.9;330;Administrasi Niaga;Administrasi Niaga;100.0;Administrasi Niaga
1586;Ekonomi Internasional;337.1;337;Administrasi Niaga;Administrasi Niaga;84.31;Administrasi Niaga, Akuntansi
1587;Ekonomi mikro;338.5;338;Administrasi Niaga;Administrasi Niaga;100.0;Administrasi Niaga
1589;Ekonomi Ubi Kayu di Jawa : Walter P. Falcon;633.49;633;Umum;Umum;83.43;Umum, Administrasi Niaga
1590;Ekonomi Ubikayu di Jawa;633.49;633;Umum;Umum;86.94;Umum
1591;Electrical Engineering Basic Technology;621.3028;621;Teknik Elektro;Teknik Elektro;91.76;Teknik Elektro
1592;Electricity 1 : Devices, Circuits, and Materials;621.31;621;Teknik Elektro;Teknik Elektro;100.0;Teknik Elektro
1593;Electronic Devices and Circuit Analysis;621.381;621;Teknik Elektro;Teknik Elektro;100.0;Teknik Elektro
1594;Electronics Engineers' Handbook;621.381;621;Teknik Elektro;Teknik Elektro;96.23;Teknik Elektro
1595;English for specific purposes : Dialogues for secretaries;428076;428;Umum;Umum;99.02;Umum
1596;Favourite Stories From Bali;398.209;398;Umum;Umum;100.0;Umum
1597;Fisika untuk Universitas 2 : Listrik, Magnet;530;530;Teknik Elektro;Teknik Elektro;94.81;Teknik Elektro
1598;Fundamentals of Applied Mechanics;620.1;620;Teknik Mesin;Teknik Mesin;79.87;Teknik Mesin, Teknik Elektro
1599;Fundamentals of digital electronmics;621.381;621;Teknik Elektro;Teknik Elektro;91.24;Teknik Elektro
1600;Fundamentals of engineering drawing : With an introduction to interactive computer graphics for design and production;604.24;604;Teknik Mesin;Teknik Mesin;86.55;Teknik Mesin
1601;Gateway : A Cross-Currcular Reading and Writing Book;725.96;725;Teknik Grafika & Penerbitan;Teknik Grafika & Penerbitan;69.97;Teknik Grafika & Penerbitan, Umum
1602;Guide to Reference Books for School Media Centers;011.02;11;Umum;Umum;73.45;Umum, Teknik Informatika & Komputer
1603;Human Comunication Theory;001.51;1;Teknik Informatika & Komputer;Teknik Informatika & Komputer;72.79;Teknik Informatika & Komputer, Umum
1604;Ikhtisar Teknik Pondasi;624.15;624;Teknik Sipil;Teknik Sipil;94.75;Teknik Sipil
1605;Industrial Robotics : Technology, Programming and Applications;629.892;629;Teknik Mesin;Teknik Mesin;82.8;Teknik Mesin, Teknik Informatika & Komputer
1606;Industrial Robotics : Technology, Programming, and Applications;629.892;629;Teknik Mesin;Teknik Mesin;83.33;Teknik Mesin, Teknik Informatika & Komputer
1608;Instalasi Listrik Arus Kuat 1 : Peraturan, peralatan instalasi, perencanaan, menggambar dan perkiraan biaya;621.381;621;Teknik Elektro;Teknik Elektro;100.0;Teknik Elektro
1609;Instructor's guide for business and its legal environment;346.07;346;Umum;Umum;92.83;Umum
1610;Instructor's guide for chemistry;540;540;Teknik Sipil;Teknik Sipil;82.77;Teknik Sipil
1611;Introduction to Building Management;690.068;690;Teknik Sipil;Teknik Sipil;84.68;Teknik Sipil
1612;Introductory linear electrical circuits and electrical;621.381;621;Teknik Elektro;Teknik Elektro;98.67;Teknik Elektro
1613;Islam : Dalam Upaya Menyehatkan Kehidupan Masyarakat;297;297;Umum;Umum;100.0;Umum
1614;Islam Dalam upaya Menyehatkan Kehidupan Masyarakat;297;297;Umum;Umum;100.0;Umum
1617;Islam untuk Disiplin Hukum, Sosial dan Politik;297.621;297;Umum;Umum;100.0;Umum
1618;Kompetisi baru : Rahasia sukses pemasaran menjelang abad XXI tidak diajarkan oleh teori Z dianalisis secara mendalam dari praktek Jepang;658.8;658;Administrasi Niaga;Administrasi Niaga;99.95;Administrasi Niaga
1619;Konstruksi Sambungan Tegar;691.7;691;Teknik Sipil;Teknik Sipil;100.0;Teknik Sipil
1620;Konstruksi Sambungan Tegar : Keling, Baut, Luas Poros dan Pasak;691.7;691;Teknik Sipil;Teknik Sipil;91.48;Teknik Sipil
1621;Konstruksi Sambungan Tegar : Keling,Baut,Las,Poros dan Pasak;6917;691;Teknik Sipil;Teknik Sipil;74.54;Teknik Sipil, Teknik Mesin
1622;Kredit Pedesaan di Indonesia;3327;332;Akuntansi;Akuntansi;86.96;Akuntansi
1623;Kunci jawaban soal-soal kekuatan bahan : Strenght materials;005.2;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;62.41;Teknik Informatika & Komputer, Teknik Mesin
1624;Kunci Jawaban Soal-soal Kekuatan Bahan : Strength of Materials;620.11;620;Teknik Mesin;Teknik Mesin;97.94;Teknik Mesin
1625;Kunci penyelesaian kasus-kasus sistem pengendalian manajemen (dalam bahasa Inggris);658.15;658;Administrasi Niaga;Administrasi Niaga;100.0;Administrasi Niaga
1626;Kunci penyelesaian soal-soal metode Pengukuran Teknik;530.16;530;Teknik Elektro;Teknik Elektro;83.3;Teknik Elektro
1627;Kunci Soal-Soal untuk Prinsip-Prinsip Perpindahan Panas;621;621;Teknik Mesin;Teknik Mesin;65.26;Teknik Mesin, Teknik Elektro
1628;Makroekonomi : Konsep, Teori Dan Kebijakan;339.5;339;Administrasi Niaga;Administrasi Niaga;100.0;Administrasi Niaga
1629;Manajemen Administrasi : Suatu pendekatan sistem dalam manajemen perkantoran;651.54;651;Administrasi Niaga;Administrasi Niaga;96.4;Administrasi Niaga
1630;Manajemen Hubungan Industrial;658409;658;Administrasi Niaga;Administrasi Niaga;100.0;Administrasi Niaga
1631;Manajemen Produksi : Perencanaan Sistem Produksi;658.5;658;Administrasi Niaga;Administrasi Niaga;100.0;Administrasi Niaga
1633;Manajemen Transpor :  Ancangan Mengefektifkan Transportasi dalam Dunia Bisnis;658788;658;Administrasi Niaga;Administrasi Niaga;99.53;Administrasi Niaga
1634;McGraw-Hill Handbook Of English;410;410;Umum;Umum;100.0;Umum
1637;Mekanika fluida, termodinamika mesin turbo;621.406;621;Teknik Mesin;Teknik Mesin;78.81;Teknik Mesin, Teknik Elektro
1639;Mekanika Teknik III : Teori Soal dan Penyelesaian;531;531;Teknik Elektro;Teknik Elektro;71.31;Teknik Elektro, Teknik Mesin
1640;Mekanika Teknik Tegangan : Saduran Buku;620112;620;Teknik Mesin;Teknik Mesin;79.18;Teknik Mesin, Teknik Elektro
1641;Mekanika Zalir;532;532;Teknik Elektro;Teknik Elektro;100.0;Teknik Elektro
1643;Memahami Produktivitas;658.02;658;Administrasi Niaga;Administrasi Niaga;100.0;Administrasi Niaga
1644;Membaca Buku Cetak-Biru : untuk Jurusan Konstruksi Bangunan;693;693;Teknik Sipil;Teknik Sipil;93.07;Teknik Sipil
1645;Membaca cetak biru;693;693;Teknik Sipil;Teknik Sipil;99.07;Teknik Sipil
1646;Membina Perpustakaan sekolah;027.8;27;Teknik Informatika & Komputer;Teknik Informatika & Komputer;85.13;Teknik Informatika & Komputer
1647;Metalurgi mekanik;669.9;669;Teknik Sipil;Teknik Sipil;72.88;Teknik Sipil, Teknik Mesin
1650;Microsoft Chart;006.6'869;6;Teknik Informatika & Komputer;Teknik Informatika & Komputer;100.0;Teknik Informatika & Komputer
1651;Modern Business Correspondence;428.2;428;Umum;Umum;80.41;Umum
1652;Motor AMK-B-PB;6238203;623;Teknik Mesin;Teknik Mesin;97.36;Teknik Mesin
1655;Norma Pemeriksaan Akuntan;657;657;Akuntansi;Akuntansi;95.74;Akuntansi
1656;Organisasi manusia : nilai dan manajemen;658.3;658;Administrasi Niaga;Administrasi Niaga;100.0;Administrasi Niaga
1657;Pedoman Gambar kerja;741;741;Teknik Grafika & Penerbitan;Teknik Grafika & Penerbitan;86.56;Teknik Grafika & Penerbitan
1658;Pengantar dBase III plus;005.3;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;100.0;Teknik Informatika & Komputer
1659;Pengantar Ilmu Pemasaran Marketing;658;658;Administrasi Niaga;Administrasi Niaga;100.0;Administrasi Niaga
1661;Pengantar Metode Statistik;519.5;519;Matematika;Matematika;100.0;Matematika
1662;Pengantar metode statistik jilid 1;519.5;519;Matematika;Matematika;92.17;Matematika
1663;Pengantar metode statistik jilid 1 dan 2;519.5;519;Matematika;Matematika;91.37;Matematika
1664;Pengantar Pascal;005.133;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;100.0;Teknik Informatika & Komputer
1665;Pengantar teori relativitas khusus;530.11;530;Teknik Elektro;Teknik Elektro;93.14;Teknik Elektro
1666;Pengukuran Alat-alat Listrik;621.37;621;Teknik Elektro;Teknik Elektro;100.0;Teknik Elektro
1667;Pengukuran dan Alat-alat Ukur Listrik;621.37;621;Teknik Elektro;Teknik Elektro;99.84;Teknik Elektro
1671;Penyegaran Udara;697.93;697;Teknik Sipil;Teknik Sipil;75.35;Teknik Sipil, Umum
1672;Penyelesaian soal-soal latihan;531;531;Teknik Elektro;Teknik Elektro;77.83;Teknik Elektro
1673;Penyusunan notulen;651.77;651;Administrasi Niaga;Administrasi Niaga;91.86;Administrasi Niaga
1674;Perhitungan Jembatan Komposit;620.18;620;Teknik Mesin;Teknik Mesin;85.55;Teknik Mesin
1675;Population challenging world criss;474524;474;Umum;Umum;92.54;Umum
1676;Power System Analysis;621.31;621;Teknik Elektro;Teknik Elektro;100.0;Teknik Elektro
1677;Principles of Marketing;658.8;658;Administrasi Niaga;Administrasi Niaga;100.0;Administrasi Niaga
1678;Prinsip-Prinsip Akuntansi;657.043;657;Akuntansi;Akuntansi;100.0;Akuntansi
1681;Proceedings of International Symposium on Composite Materials and Structures : June 10-13, 1986 Beijing, China;620.118;620;Teknik Mesin;Teknik Mesin;83.57;Teknik Mesin
1682;Protokol Perusahaan kumpulan Petunjuk Ringkas tentang Etika Bisnis;658.001;658;Administrasi Niaga;Administrasi Niaga;82.0;Administrasi Niaga
1683;Quality Without Tears : The Art of Hassle-Free Management;658.562;658;Administrasi Niaga;Administrasi Niaga;88.46;Administrasi Niaga
1684;Riset Pemasaran Untuk Pengembangan Ekspor;382.6;382;Administrasi Niaga;Administrasi Niaga;93.84;Administrasi Niaga
1685;Seri perencanaan jembatan : Rangka kereta api;625.1;625;Teknik Sipil;Teknik Sipil;86.72;Teknik Sipil
1686;Sistem Pengendalian intern dalam hubungan dengan management dan audit;658.151;658;Administrasi Niaga;Administrasi Niaga;88.24;Administrasi Niaga
1687;Sistem Pengolahan Informasi;004.2;4;Teknik Informatika & Komputer;Teknik Informatika & Komputer;100.0;Teknik Informatika & Komputer
1688;Sistem Telekomunikasi I;621.382;621;Teknik Elektro;Teknik Elektro;87.27;Teknik Elektro
1689;Soal-Jawab Dasar-Dasar Akuntansi;657;657;Akuntansi;Akuntansi;98.67;Akuntansi
1690;Soal-soal ujian dan penyelesaiannya mata uji motor AMK-B-PB;623.8203;623;Teknik Mesin;Teknik Mesin;84.55;Teknik Mesin
1691;Standar Perencanaan Irigasi;627.52;627;Teknik Sipil;Teknik Sipil;95.17;Teknik Sipil
1699;Standar Perencanaan Irigasi : Kriteria Perencanaan Bagian Bangunan KP-04;627.52;627;Teknik Sipil;Teknik Sipil;100.0;Teknik Sipil
1701;Struktur Baja : Disain dan perilaku;691;691;Teknik Sipil;Teknik Sipil;88.91;Teknik Sipil
1702;Struktur Keuangan dan Kebijaksanaan Moneter di Asia Tenggara;352.1;352;Umum;Umum;65.87;Umum, Administrasi Niaga, Akuntansi
1703;Study guide for Computers and applications;005.71;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;97.42;Teknik Informatika & Komputer
1704;Tata Kerja Organisasi 1;658.18;658;Administrasi Niaga;Administrasi Niaga;100.0;Administrasi Niaga
1705;Technical Drawing and Design;604.24;604;Teknik Mesin;Teknik Mesin;100.0;Teknik Mesin
1706;Teknik Listrik Arus searah;621.3;621;Teknik Elektro;Teknik Elektro;100.0;Teknik Elektro
1708;Teknik Memimpin Rapat;658456;658;Administrasi Niaga;Administrasi Niaga;95.15;Administrasi Niaga
1712;Teknik-Teknik Manufaktur Jepang;658.552;658;Administrasi Niaga;Administrasi Niaga;92.37;Administrasi Niaga
1713;Teknik-Teknik Manufaktur Jepang : sembilan pelajaran sederhana yang tersembunyi;658552;658;Administrasi Niaga;Administrasi Niaga;91.03;Administrasi Niaga
1714;Teknik-teknik Manufaktur Jepang Sembilan pelajaran sederhana yang tersembunyi;670;670;Teknik Mesin;Teknik Mesin;75.59;Teknik Mesin
1715;teknologi administrasi : suatu pengantar;651.3;651;Administrasi Niaga;Administrasi Niaga;100.0;Administrasi Niaga
1716;Teori dan praktek kerja logam;671.202;671;Teknik Mesin;Teknik Mesin;72.88;Teknik Mesin, Teknik Sipil
1717;Teori dan Soal-soal Pengantar Ilmu Komputer;005101;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;79.18;Teknik Informatika & Komputer
1718;Teori dan soal-soal program komputer;005.262;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;83.11;Teknik Informatika & Komputer, Matematika
1719;Teori Getaran Dengan Penerapan;620.3;620;Teknik Mesin;Teknik Mesin;98.26;Teknik Mesin
1720;Teori Turbin Uap : untuk SMK C dan B PB;6212;621;Teknik Mesin;Teknik Mesin;96.54;Teknik Mesin
1721;Terjemahan Hadis Shahih Muslim;297.124 hlm.;297;Umum;Umum;99.91;Umum
1723;The Boyhood of Ronggowarsito;428.649922;428;Umum;Umum;100.0;Umum
1725;The Collins Paperback Thesaurus In-A-to-z Form;423.1;423;Umum;Umum;95.76;Umum
1726;The Course of Ideas : College Writing and Reading;808.0427;808;Umum;Umum;97.72;Umum
1727;Toefl A Practical Approach : Book one Structure and Written Expressions;4288;428;Umum;Umum;100.0;Umum
1729;Transmisi Informasi, Modulasi, Dan Bising;621.382;621;Teknik Elektro;Teknik Elektro;100.0;Teknik Elektro
1731;Transmisi Informasi, Modulasi, dan Bising : Suatu Pendekatan Seragam Terhadap Sistem Komunikasi;621.382;621;Teknik Elektro;Teknik Elektro;97.86;Teknik Elektro
1734;Uraian dasar pajak pertambahan nilai;343.055;343;Umum;Umum;67.18;Umum, Akuntansi
1736;VRML Flying;005.3;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;100.0;Teknik Informatika & Komputer
1737;A Guide to Spreadsheets Using VP-Planner;005.7565;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;100.0;Teknik Informatika & Komputer
1738;Accounting an international perspective;657.96;657;Akuntansi;Akuntansi;90.94;Akuntansi
1739;Accounting The Basis for Business Decisions;657;657;Akuntansi;Akuntansi;99.11;Akuntansi
1741;Administrasi Perusahaan Indonesia;6585;658;Administrasi Niaga;Administrasi Niaga;95.86;Administrasi Niaga
1743;Akuntansi Manajemen I : Konsep Dasar Akuntansi Manajemen Dan Proses Perencanaan;658.1511;658;Administrasi Niaga;Administrasi Niaga;78.03;Administrasi Niaga, Akuntansi
1745;Analisa Administrasi : Analisa sistem-sistem bagi administrasi yang efektif;651.5;651;Administrasi Niaga;Administrasi Niaga;85.49;Administrasi Niaga
1746;Analisa dan desain rangkaian terpadu digital;6213815;621;Teknik Elektro;Teknik Elektro;100.0;Teknik Elektro
1747;Analisa Keputusan : Pendekatan Sistem dalam Manajemen Usaha dan Proyek;65840354;658;Administrasi Niaga;Administrasi Niaga;98.43;Administrasi Niaga
1748;Analisa Struktur dengan Metode Matrik;624.171;624;Teknik Sipil;Teknik Sipil;86.5;Teknik Sipil
1749;Analisa struktur dengan metode matrix;624.171;624;Teknik Sipil;Teknik Sipil;99.52;Teknik Sipil
1750;Analisis dan desain rangkaian digital;6213815;621;Teknik Elektro;Teknik Elektro;96.43;Teknik Elektro
1751;Analisis dan desain rangkaian terpadu digital;621.381;621;Teknik Elektro;Teknik Elektro;100.0;Teknik Elektro
1755;Analisis dan Desain rangkaianterpadu digital;62138132;621;Teknik Elektro;Teknik Elektro;99.21;Teknik Elektro
1757;Analisis Moneter dan Menejemen Keuangan;336;336;Akuntansi;Akuntansi;77.93;Akuntansi, Administrasi Niaga
1758;Aplikasi dBase III plus pada akuntansi;657.450 285;657;Akuntansi;Akuntansi;84.52;Akuntansi, Teknik Informatika & Komputer
1759;Applied Data Structures Using Pascal;005.73;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;100.0;Teknik Informatika & Komputer
1760;Asas-asas praktik mengajar : Kriteria baru dalam program pendidikan;370.733;370;Umum;Umum;91.98;Umum
1761;Atlas Of South Asia;005.568;5;Teknik Informatika & Komputer;Teknik Informatika & Komputer;76.62;Teknik Informatika & Komputer, Umum
